time,lambda,chain,IPR,norm
0.0,0.0,fibonacci,0.00940313707633849,1.0
1.0,0.0,fibonacci,0.009403137076338493,1.0
1.0312831606721848,0.0,fibonacci,0.009403137076338493,1.0
1.0635449574860112,0.0,fibonacci,0.009403137076338492,1.0
1.096816005273138,0.0,fibonacci,0.009403137076338487,1.0000000000000002
1.1311278765939214,0.0,fibonacci,0.00940313707633849,1.0
1.1665131316981963,0.0,fibonacci,0.009403137076338488,0.9999999999999999
1.2030053494233244,0.0,fibonacci,0.009403137076338488,1.0
1.240639159058832,0.0,fibonacci,0.00940313707633849,1.0
1.2794502732078736,0.0,fibonacci,0.009403137076338487,1.0000000000000002
1.3194755216767062,0.0,fibonacci,0.00940313707633849,1.0
1.3607528864243335,0.0,fibonacci,0.00940313707633849,1.0
1.403321537605485,0.0,fibonacci,0.00940313707633849,1.0
1.4472218707411348,0.0,fibonacci,0.00940313707633849,1.0
1.4924955450518296,0.0,fibonacci,0.00940313707633849,1.0
1.5391855229902058,0.0,fibonacci,0.009403137076338488,1.0000000000000002
1.587336111010209,0.0,fibonacci,0.009403137076338492,1.0
1.6369930016117025,0.0,fibonacci,0.00940313707633874,1.0
1.6882033167003634,0.0,fibonacci,0.009403137076340037,1.0
1.7410156523040161,0.0,fibonacci,0.009403137076342338,1.0
1.7954801246878311,0.0,fibonacci,0.0094031370763455,1.0
1.8516484179121548,0.0,fibonacci,0.009403137076349388,1.0
1.9095738328780973,0.0,fibonacci,0.009403137076353835,1.0
1.9693113379074225,0.0,fibonacci,0.009403137076358693,1.0000000000000002
2.0309176209047357,0.0,fibonacci,0.009403137076363794,1.0000000000000002
2.0944511431514696,0.0,fibonacci,0.009403137076368959,1.0000000000000002
2.159972194782718,0.0,fibonacci,0.009403137076374015,1.0000000000000002
2.2275429519995575,0.0,fibonacci,0.009403137076378784,1.0000000000000002
2.2972275360711523,0.0,fibonacci,0.009403137076383112,1.0000000000000002
2.369092074182633,0.0,fibonacci,0.009403137076386828,1.0000000000000002
2.4432047621864883,0.0,fibonacci,0.009403137076389796,1.0000000000000004
2.519635929317015,0.0,fibonacci,0.009403137076391907,1.0000000000000004
2.598458104929249,0.0,fibonacci,0.009403137076393049,1.0000000000000004
2.6797460873256913,0.0,fibonacci,0.00940313707639317,1.0000000000000002
2.763577014736159,0.0,fibonacci,0.00940313707639223,1.0000000000000004
2.850030438518107,0.0,fibonacci,0.009403137076390263,1.0000000000000002
2.9391883986468863,0.0,fibonacci,0.009403137076387324,1.0000000000000002
3.0311355015675785,0.0,fibonacci,0.00940313707638355,1.0000000000000004
3.1259590004822804,0.0,fibonacci,0.009403137076379133,1.0000000000000002
3.2237488781490296,0.0,fibonacci,0.009403137076374317,1.0000000000000002
3.3245979322709407,0.0,fibonacci,0.009403137076369437,1.0
3.428601863556586,0.0,fibonacci,0.009403137076364887,1.0000000000000002
3.5358593665351785,0.0,fibonacci,0.009403137076361144,1.0000000000000002
3.646472223212748,0.0,fibonacci,0.009403137076358753,1.0000000000000002
3.760545399658171,0.0,fibonacci,0.009403137076358321,1.0000000000000002
3.8781871456107226,0.0,fibonacci,0.009403137076360516,1.0
3.9995090972036653,0.0,fibonacci,0.009403137076366034,1.0000000000000002
4.1246263829013525,0.0,fibonacci,0.009403137076375606,1.0000000000000002
4.253657732750387,0.0,fibonacci,0.009403137076389966,1.0000000000000004
4.386725591048498,0.0,fibonacci,0.009403137076409798,1.0000000000000007
4.523956232538054,0.0,fibonacci,0.00940313707643572,1.0000000000000016
4.6654798822344725,0.0,fibonacci,0.009403137076468244,1.0000000000000027
4.811430839003259,0.0,fibonacci,0.009403137076507705,1.0000000000000044
4.961947603002903,0.0,fibonacci,0.00940313707655421,1.0000000000000073
5.117173007114605,0.0,fibonacci,0.0094031370766076,1.000000000000011
5.277254352483538,0.0,fibonacci,0.009403137076667347,1.0000000000000164
5.442343548300267,0.0,fibonacci,0.009403137076732498,1.0000000000000233
5.612597255954972,0.0,fibonacci,0.009403137076801639,1.0000000000000322
5.788177037701274,0.0,fibonacci,0.009403137076872799,1.0000000000000426
5.969249509970735,0.0,fibonacci,0.00940313707694343,1.0000000000000544
6.155986501483509,0.0,fibonacci,0.009403137077010387,1.0000000000000668
6.348565216305219,0.0,fibonacci,0.009403137077069908,1.000000000000079
6.547168402004738,0.0,fibonacci,0.009403137077117702,1.0000000000000893
6.751984523072503,0.0,fibonacci,0.00940313707714901,1.0000000000000964
6.963207939763885,0.0,fibonacci,0.009403137077158783,1.0000000000000984
7.181039092537351,0.0,fibonacci,0.009403137077141925,1.0000000000000941
7.405684692262437,0.0,fibonacci,0.009403137077093657,1.0000000000000828
7.637357916378021,0.0,fibonacci,0.009403137077009929,1.000000000000065
7.876278611187057,0.0,fibonacci,0.009403137076888009,1.0000000000000433
8.122673500479713,0.0,fibonacci,0.009403137076727216,1.0000000000000215
8.376776400682918,0.0,fibonacci,0.009403137076529684,1.000000000000005
8.638828442740447,0.0,fibonacci,0.009403137076301287,1.0000000000000002
8.909078300934137,0.0,fibonacci,0.009403137076052512,1.000000000000012
9.187782428863335,0.0,fibonacci,0.009403137075799164,1.000000000000042
9.475205302806543,0.0,fibonacci,0.009403137075562742,1.000000000000086
9.771619672696177,0.0,fibonacci,0.009403137075369914,1.0000000000001332
10.077306820944612,0.0,fibonacci,0.009403137075250721,1.0000000000001674
10.392556829367125,0.0,fibonacci,0.009403137075234621,1.000000000000172
10.71766885445503,0.0,fibonacci,0.00940313707534327,1.0000000000001399
11.052951411260215,0.0,fibonacci,0.009403137075578853,1.0000000000000817
11.39872266616052,0.0,fibonacci,0.00940313707590596,1.0000000000000269
11.755310738783693,0.0,fibonacci,0.00940313707622487,1.000000000000002
12.123054013376523,0.0,fibonacci,0.009403137076341588,1.0
12.502301459914554,0.0,fibonacci,0.00940313707633914,0.9999999999999999
12.89341296525715,0.0,fibonacci,0.009403137076336991,1.0
13.29675967466212,0.0,fibonacci,0.009403137076336783,1.0
13.712724343984002,0.0,fibonacci,0.009403137076340141,1.0
14.141701702890233,0.0,fibonacci,0.009403137076344357,1.0
14.584098829439856,0.0,fibonacci,0.009403137076346432,1.0
15.040335536380244,0.0,fibonacci,0.009403137076345368,1.0
15.510844769528397,0.0,fibonacci,0.009403137076340697,1.0
15.996073018614878,0.0,fibonacci,0.009403137076331131,1.0
16.496480740980207,0.0,fibonacci,0.009403137076323682,1.0
17.012542798525892,0.0,fibonacci,0.009403137076323929,1.0
17.544748908334597,0.0,fibonacci,0.009403137076333574,1.0
18.093604107387165,0.0,fibonacci,0.00940313707631948,1.0
18.65962923181746,0.0,fibonacci,0.009403137076312218,1.0000000000000002
19.2433614111598,0.0,fibonacci,0.009403137076376253,1.0
19.845354578058032,0.0,fibonacci,0.009403137076376635,1.0
20.466179993919898,0.0,fibonacci,0.00940313707632927,1.0
21.106426791015547,0.0,fibonacci,0.00940313707633178,1.0
21.76670253153459,0.0,fibonacci,0.009403137076306163,1.0000000000000002
22.44763378413224,0.0,fibonacci,0.009403137076329499,1.0
23.14986671851161,0.0,fibonacci,0.009403137076379332,1.0000000000000002
23.87406771860647,0.0,fibonacci,0.009403137076335878,1.0
24.620924014946254,0.0,fibonacci,0.009403137076348786,1.0
25.39114433680347,0.0,fibonacci,0.009403137076354451,1.0000000000000002
26.185459584742325,0.0,fibonacci,0.009403137076333577,1.0
27.00462352420682,0.0,fibonacci,0.00940313707631773,1.0000000000000002
27.849413500806442,0.0,fibonacci,0.00940313707635297,1.0
28.72063117797828,0.0,fibonacci,0.009403137076474105,1.0000000000000002
29.619103297725534,0.0,fibonacci,0.009403137076544724,1.0000000000000004
30.545682465154318,0.0,fibonacci,0.009403137075948169,1.000000000000001
31.50124795755328,0.0,fibonacci,0.009403137076373315,1.0
32.486706558783744,0.0,fibonacci,0.009403137076425327,1.0000000000000002
33.502993419772295,0.0,fibonacci,0.009403137076386873,1.0
34.55107294592218,0.0,fibonacci,0.009403137076218338,1.0000000000000002
35.631939712285856,0.0,fibonacci,0.009403137076338443,1.0
36.7466194073669,0.0,fibonacci,0.009403137076302984,1.0000000000000002
37.896169806447176,0.0,fibonacci,0.00940313707638636,1.0000000000000002
39.08168177536266,0.0,fibonacci,0.009403137076321339,1.0
40.30428030568053,0.0,fibonacci,0.009403137076284944,1.0
41.5651255822599,0.0,fibonacci,0.009403137076387992,1.0
42.86541408420927,0.0,fibonacci,0.009403137076304873,1.0
44.20637972028532,0.0,fibonacci,0.009403137076349852,1.0
45.58929499981062,0.0,fibonacci,0.009403137076325223,1.0
47.01547224022132,0.0,fibonacci,0.009403137076186337,1.0000000000000002
48.48626481239081,0.0,fibonacci,0.009403137076566528,1.0000000000000002
50.00306842491092,0.0,fibonacci,0.009403137076321089,1.0
51.56732244854966,0.0,fibonacci,0.009403137076365297,1.0
53.180511282142,0.0,fibonacci,0.009403137076357626,1.0
54.84416576121018,0.0,fibonacci,0.009403137076545266,1.0000000000000004
56.55986461065005,0.0,fibonacci,0.009403137076351861,1.0
58.329235942862034,0.0,fibonacci,0.009403137076542044,1.0000000000000004
