lambda,chain,IPR_linear,IPR_final,norm_final
0.0,fibonacci,0.02096451122491881,0.020964511224918783,0.9999999999999999
0.0,tribonacci,0.08201561019889948,0.08201561019889933,1.0000000000000004
0.1,fibonacci,0.02096451122491881,0.020586763173494217,0.9999999999997843
0.1,tribonacci,0.08201561019889948,0.08201755314970348,0.999999999997818
0.2,fibonacci,0.02096451122491881,0.019928420309249757,0.999999999999129
0.2,tribonacci,0.08201561019889948,0.0819963342666074,0.9999999999910953
0.3,fibonacci,0.02096451122491881,0.01904108646615621,0.9999999999980145
0.3,tribonacci,0.08201561019889948,0.08189495563637254,0.999999999979372
0.4,fibonacci,0.02096451122491881,0.017989531838058195,0.9999999999964052
0.4,tribonacci,0.08201561019889948,0.08165213985456261,0.9999999999620147
0.5,fibonacci,0.02096451122491881,0.01684265915049741,0.9999999999942538
0.5,tribonacci,0.08201561019889948,0.0812374198291655,0.9999999999382791
0.6,fibonacci,0.02096451122491881,0.015665528642348242,0.9999999999915058
0.6,tribonacci,0.08201561019889948,0.0806757254778148,0.9999999999071859
0.7,fibonacci,0.02096451122491881,0.014513694676905694,0.9999999999880977
0.7,tribonacci,0.08201561019889948,0.08004937138682608,0.9999999998672215
0.8,fibonacci,0.02096451122491881,0.013430232840190586,0.9999999999839618
0.8,tribonacci,0.08201561019889948,0.07947486886878778,0.9999999998160075
0.9,fibonacci,0.02096451122491881,0.012445142352457084,0.9999999999790278
0.9,tribonacci,0.08201561019889948,0.07906251547673,0.9999999997501556
1.0,fibonacci,0.02096451122491881,0.011576443082754118,0.9999999999732236
1.0,tribonacci,0.08201561019889948,0.07887331116278594,0.9999999996655039
1.1,fibonacci,0.02096451122491881,0.01083222246961762,0.9999999999664776
1.1,tribonacci,0.08201561019889948,0.07888842849480035,0.9999999995577817
1.2,fibonacci,0.02096451122491881,0.010213012434296532,0.9999999999587182
1.2,tribonacci,0.08201561019889948,0.07900245689869313,0.9999999994235196
1.3,fibonacci,0.02096451122491881,0.009714073268483598,0.9999999999498747
1.3,tribonacci,0.08201561019889948,0.07904498969905126,0.9999999992608701
1.4,fibonacci,0.02096451122491881,0.009327350873448909,0.9999999999398775
1.4,tribonacci,0.08201561019889948,0.07882676660942735,0.9999999990699282
1.5,fibonacci,0.02096451122491881,0.00904301827975737,0.999999999928659
1.5,tribonacci,0.08201561019889948,0.07819754124612177,0.9999999988523023
1.6,fibonacci,0.02096451122491881,0.00885060496594996,0.9999999999161502
1.6,tribonacci,0.08201561019889948,0.07709654992182824,0.99999999860996
1.7,fibonacci,0.02096451122491881,0.008739766508203748,0.999999999902285
1.7,tribonacci,0.08201561019889948,0.07557767541968896,0.9999999983437433
1.8,fibonacci,0.02096451122491881,0.008700765686420977,0.9999999998869953
1.8,tribonacci,0.08201561019889948,0.07380150214312789,0.9999999980521824
1.9,fibonacci,0.02096451122491881,0.008724736513534732,0.9999999998702144
1.9,tribonacci,0.08201561019889948,0.07200051859210128,0.9999999977312044
2.0,fibonacci,0.02096451122491881,0.008803793814196496,0.9999999998518737
2.0,tribonacci,0.08201561019889948,0.070433270716289,0.9999999973749597
2.1,fibonacci,0.02096451122491881,0.008931038808089098,0.9999999998319036
2.1,tribonacci,0.08201561019889948,0.0693426414616359,0.9999999969774026
2.2,fibonacci,0.02096451122491881,0.009100498960834907,0.9999999998102335
2.2,tribonacci,0.08201561019889948,0.06892441501497874,0.9999999965338954
2.3,fibonacci,0.02096451122491881,0.009307029735238176,0.9999999997867897
2.3,tribonacci,0.08201561019889948,0.06930295010895743,0.999999996042072
2.4,fibonacci,0.02096451122491881,0.00954619734893802,0.999999999761497
2.4,tribonacci,0.08201561019889948,0.07050883529128579,0.9999999955015725
2.5,fibonacci,0.02096451122491881,0.009814155204037814,0.999999999734276
2.5,tribonacci,0.08201561019889948,0.0724595923411749,0.9999999949127774
2.6,fibonacci,0.02096451122491881,0.0101075220279033,0.9999999997050437
2.6,tribonacci,0.08201561019889948,0.07495223078094064,0.99999999427505
2.7,fibonacci,0.02096451122491881,0.010423266599032654,0.9999999996737137
2.7,tribonacci,0.08201561019889948,0.07767793411307596,0.9999999935852042
2.8,fibonacci,0.02096451122491881,0.010758601881889035,0.9999999996401927
2.8,tribonacci,0.08201561019889948,0.08026243383537224,0.9999999928368711
2.9,fibonacci,0.02096451122491881,0.011110890158745812,0.9999999996043822
2.9,tribonacci,0.08201561019889948,0.08232571305063176,0.9999999920211494
3.0,fibonacci,0.02096451122491881,0.011477560078331948,0.9999999995661774
3.0,tribonacci,0.08201561019889948,0.08354778316783246,0.999999991128368
