time,lambda,chain,IPR,norm
50.0,0.0,fibonacci,0.020964511224918794,1.0000000000000002
50.0,0.5,fibonacci,0.016842659150495317,0.9999999999942549
50.0,1.0,fibonacci,0.0115764430827477,0.9999999999732286
50.0,1.5,fibonacci,0.009043018279750363,0.9999999999286735
50.0,2.0,fibonacci,0.00880379381419287,0.9999999998519064
50.0,3.0,fibonacci,0.011477560078338863,0.9999999995662837
50.0,4.0,fibonacci,0.01531718095023368,0.9999999990223623
50.0,5.0,fibonacci,0.01730544644643083,0.9999999980309207
50.0,7.0,fibonacci,0.01317315732827521,0.9999999930750451
50.0,10.0,fibonacci,0.008215721180455791,0.9999999683934752
50.0,0.0,tribonacci,0.08201561019889933,1.0000000000000004
50.0,0.5,tribonacci,0.08123741982918017,0.9999999999382954
50.0,1.0,tribonacci,0.0788733111627857,0.9999999996655938
50.0,1.5,tribonacci,0.0781975412455315,0.9999999988526354
50.0,2.0,tribonacci,0.07043327071528718,0.9999999973755946
50.0,3.0,tribonacci,0.0835477831691314,0.9999999911309861
50.0,4.0,tribonacci,0.05871050020653036,0.999999975345314
50.0,5.0,tribonacci,0.04297435290182052,0.9999999126785589
50.0,7.0,tribonacci,0.031592784216497055,0.9999997324991428
50.0,10.0,tribonacci,0.02709037446687635,0.9999996089425012
50.0,0.0,tetrabonacci,0.09707325722664897,1.0
50.0,0.5,tetrabonacci,0.09526546852589446,0.9999999998999564
50.0,1.0,tetrabonacci,0.09626593808927343,0.9999999995256947
50.0,1.5,tetrabonacci,0.09694675832068225,0.9999999982664399
50.0,2.0,tetrabonacci,0.08901225458849706,0.9999999965768579
50.0,3.0,tetrabonacci,0.06564887158549965,0.99999997902629
50.0,4.0,tetrabonacci,0.044630307017672774,0.999999896252659
50.0,5.0,tetrabonacci,0.05015283055568403,0.9999997409620955
50.0,7.0,tetrabonacci,0.04826753803982684,0.9999995075551598
50.0,10.0,tetrabonacci,0.04114076214569311,0.9999997204017308
