N,time,lambda,chain,IPR,norm
1000,0.0,1.5,fibonacci,0.010802718160829386,1.0
1000,1.0,1.5,fibonacci,0.010802185623293138,1.0000000000022513
1000,1.0392556829367126,1.5,fibonacci,0.010802059276413669,1.0000000000013012
1000,1.080052374516253,1.5,fibonacci,0.010801911130262028,0.9999999999995677
1000,1.1224505680853065,1.5,fibonacci,0.010801738023213298,0.9999999999975873
1000,1.1665131316981963,1.5,fibonacci,0.010801536423158488,0.99999999999637
1000,1.2123054013376524,1.5,fibonacci,0.010801302402605949,0.9999999999969639
1000,1.2598952777950274,1.5,fibonacci,0.010801031616607077,0.9999999999991941
1000,1.3093533273536104,1.5,fibonacci,0.010800719285215931,0.9999999999999899
1000,1.3607528864243335,1.5,fibonacci,0.010800360187082008,1.0000000000000273
1000,1.4141701702890235,1.5,fibonacci,0.010799948657659101,0.9999999999998922
1000,1.4696843861124462,1.5,fibonacci,0.010799478601043,1.0000000000002736
1000,1.5273778503907136,1.5,fibonacci,0.010798943517847652,1.0000000000014253
1000,1.587336111010209,1.5,fibonacci,0.010798336551879013,1.0000000000024707
1000,1.6496480740980204,1.5,fibonacci,0.010797650559940152,1.0000000000019007
1000,1.7144061358519709,1.5,fibonacci,0.010796878208834485,0.9999999999991634
1000,1.7817063195457306,1.5,fibonacci,0.010796012103436772,0.9999999999962967
1000,1.8516484179121548,1.5,fibonacci,0.010795044949018827,0.9999999999971244
1000,1.9243361411159798,1.5,fibonacci,0.010793969749606166,0.9999999999999034
1000,1.9998772705352856,1.5,fibonacci,0.010792780047215471,0.999999999999986
1000,2.0783838185797574,1.5,fibonacci,0.010791470202992808,0.9999999999999672
1000,2.159972194782718,1.5,fibonacci,0.0107900357104664,1.0000000000016454
1000,2.2447633784132237,1.5,fibonacci,0.010788473545663384,1.0000000000031508
1000,2.332883097864157,1.5,fibonacci,0.010786782539333616,1.000000000000377
1000,2.424462017082328,1.5,fibonacci,0.01078496375984104,0.9999999999954137
1000,2.519635929317015,1.5,fibonacci,0.01078302089323836,0.9999999999977403
1000,2.618545958474233,1.5,fibonacci,0.010780960604157886,0.9999999999999966
1000,2.7213387683753076,1.5,fibonacci,0.010778792840811168,0.9999999999998626
