N,time,lambda,chain,IPR,norm
500,0.0,0.5,fibonacci,0.020964511224918797,1.0
500,1.0,0.5,fibonacci,0.020962946185368796,1.000000000001097
500,1.0312831606721848,0.5,fibonacci,0.020962807285502934,1.0000000000009814
500,1.0635449574860112,0.5,fibonacci,0.02096265522683823,1.0000000000006126
500,1.096816005273138,0.5,fibonacci,0.020962488759500485,1.0000000000000087
500,1.1311278765939214,0.5,fibonacci,0.02096230652710832,0.9999999999992784
500,1.1665131316981963,0.5,fibonacci,0.02096210706088492,0.9999999999986272
500,1.2030053494233244,0.5,fibonacci,0.020961888774119156,0.9999999999983237
500,1.240639159058832,0.5,fibonacci,0.02096164995713621,0.9999999999985895
500,1.2794502732078736,0.5,fibonacci,0.020961388772952876,0.9999999999993759
500,1.3194755216767062,0.5,fibonacci,0.020961103253801475,0.9999999999999688
500,1.3607528864243335,0.5,fibonacci,0.020960791300058488,1.000000000000015
500,1.403321537605485,0.5,fibonacci,0.020960450680770352,0.9999999999999969
500,1.4472218707411348,0.5,fibonacci,0.02096007903441054,0.9999999999999507
500,1.4924955450518296,0.5,fibonacci,0.020959673873804676,1.0000000000000486
500,1.5391855229902058,0.5,fibonacci,0.020959232593504826,1.0000000000003793
500,1.587336111010209,0.5,fibonacci,0.020958752480584465,1.000000000000824
500,1.6369930016117025,0.5,fibonacci,0.020958230729359956,1.0000000000010736
500,1.6882033167003634,0.5,fibonacci,0.020957664460545023,1.0000000000007936
500,1.7410156523040161,0.5,fibonacci,0.02095705074531833,0.999999999999896
500,1.7954801246878311,0.5,fibonacci,0.020956386634721463,0.999999999998782
500,1.8516484179121548,0.5,fibonacci,0.020955669194688796,0.9999999999983148
500,1.9095738328780973,0.5,fibonacci,0.02095489554682448,0.9999999999991412
500,1.9693113379074225,0.5,fibonacci,0.020954062914777735,0.9999999999999581
500,2.0309176209047357,0.5,fibonacci,0.020953168677654423,1.000000000000002
500,2.0944511431514696,0.5,fibonacci,0.020952210428947404,0.9999999999999297
500,2.159972194782718,0.5,fibonacci,0.020951186038721394,1.000000000000212
500,2.2275429519995575,0.5,fibonacci,0.020950093721438304,1.0000000000009097
500,2.2972275360711523,0.5,fibonacci,0.020948932105787757,1.000000000001239
500,2.369092074182633,0.5,fibonacci,0.02094770030473667,1.0000000000003324
500,2.4432047621864883,0.5,fibonacci,0.020946397983808405,0.9999999999985945
500,2.519635929317015,0.5,fibonacci,0.020945025425533052,0.9999999999981367
500,2.598458104929249,0.5,fibonacci,0.020943583588140295,0.9999999999998239
500,2.6797460873256913,0.5,fibonacci,0.02094207415422745,0.9999999999999877
500,2.763577014736159,0.5,fibonacci,0.02094049956048403,0.9999999999999241
500,2.850030438518107,0.5,fibonacci,0.020938863016079157,1.0000000000005766
500,2.9391883986468863,0.5,fibonacci,0.02093716850119578,1.0000000000013185
500,3.0311355015675785,0.5,fibonacci,0.020935420741648253,1.0000000000002054
500,3.1259590004822804,0.5,fibonacci,0.020933625156007878,0.9999999999980321
500,3.2237488781490296,0.5,fibonacci,0.020931787779868774,0.9999999999990067
500,3.3245979322709407,0.5,fibonacci,0.020929915175330868,0.9999999999999615
500,3.428601863556586,0.5,fibonacci,0.020928014295467225,0.9999999999999206
500,3.5358593665351785,0.5,fibonacci,0.02092609232822176,1.0000000000008065
500,3.646472223212748,0.5,fibonacci,0.02092415651615012,1.0000000000008236
500,3.760545399658171,0.5,fibonacci,0.020922213926953495,0.9999999999984439
500,3.8781871456107226,0.5,fibonacci,0.020920271166226388,0.9999999999991634
500,3.9995090972036653,0.5,fibonacci,0.020918334033454507,0.9999999999999272
500,4.1246263829013525,0.5,fibonacci,0.02091640703574724,1.0000000000001719
500,4.253657732750387,0.5,fibonacci,0.020914492741703733,1.0000000000012288
500,4.386725591048498,0.5,fibonacci,0.02091259090017068,0.9999999999989375
