N,time,lambda,chain,IPR,norm
500,16.496480740980207,1.5,fibonacci,0.01654724353393653,0.9999999999971648
500,17.012542798525892,1.5,fibonacci,0.016588444645631095,0.9999999999889942
500,17.544748908334597,1.5,fibonacci,0.01663225842977381,0.9999999999815116
500,18.093604107387165,1.5,fibonacci,0.016638578819851143,0.9999999999933057
500,18.65962923181746,1.5,fibonacci,0.01657636158681333,0.9999999999962802
500,19.2433614111598,1.5,fibonacci,0.01644584310509696,1.0000000000043296
500,19.845354578058032,1.5,fibonacci,0.016287006079322566,1.0000000000096645
500,20.466179993919898,1.5,fibonacci,0.016162267474120046,1.0000000000026057
500,21.106426791015547,1.5,fibonacci,0.016125614005513045,0.9999999999981042
500,21.76670253153459,1.5,fibonacci,0.016201483504982142,0.9999999999883836
500,22.44763378413224,1.5,fibonacci,0.016373406112664336,0.9999999999767061
500,23.14986671851161,1.5,fibonacci,0.016569410097033506,0.9999999999948594
500,23.87406771860647,1.5,fibonacci,0.016674864186842393,0.9999999999954694
500,24.620924014946254,1.5,fibonacci,0.01661277104092376,1.0000000000015148
500,25.39114433680347,1.5,fibonacci,0.01643011618987867,0.9999999999758872
500,26.185459584742325,1.5,fibonacci,0.016272831251349044,0.9999999999943462
500,27.00462352420682,1.5,fibonacci,0.01626817199727254,0.9999999999980271
500,27.849413500806442,1.5,fibonacci,0.016441215567068936,0.99999999999397
500,28.72063117797828,1.5,fibonacci,0.016670539742909066,0.9999999999998295
500,29.619103297725534,1.5,fibonacci,0.016713249157352766,0.9999999999940089
500,30.545682465154318,1.5,fibonacci,0.016438687688479378,0.9999999999943839
500,31.50124795755328,1.5,fibonacci,0.01603033855409693,0.9999999999936695
500,32.486706558783744,1.5,fibonacci,0.015789592266985234,0.9999999999930343
500,33.502993419772295,1.5,fibonacci,0.01582080293746946,0.9999999999855362
500,34.55107294592218,1.5,fibonacci,0.015904318326464904,1.0000000000000244
500,35.631939712285856,1.5,fibonacci,0.015607471973342106,0.9999999999983605
500,36.7466194073669,1.5,fibonacci,0.014898515261451693,0.9999999999927556
500,37.896169806447176,1.5,fibonacci,0.014288432142061092,0.999999999992073
500,39.08168177536266,1.5,fibonacci,0.014061501543014773,0.9999999999917486
500,40.30428030568053,1.5,fibonacci,0.013883070265190126,0.9999999999940722
500,41.5651255822599,1.5,fibonacci,0.013116449767399169,1.0000000000025626
500,42.86541408420927,1.5,fibonacci,0.01199693880261326,0.9999999999901147
500,44.20637972028532,1.5,fibonacci,0.011235970053600728,0.9999999999813847
500,45.58929499981062,1.5,fibonacci,0.010797061960173542,0.9999999999897788
500,47.01547224022132,1.5,fibonacci,0.010109852535692116,0.9999999999939624
500,48.48626481239081,1.5,fibonacci,0.009327328429546922,0.9999999999893959
500,50.00306842491092,1.5,fibonacci,0.009042906104277033,0.9999999999972968
500,51.56732244854966,1.5,fibonacci,0.009054437761938627,0.999999999988115
500,53.180511282142,1.5,fibonacci,0.008903787402117279,0.9999999999869725
500,54.84416576121018,1.5,fibonacci,0.008806081811842767,0.9999999999740489
500,56.55986461065005,1.5,fibonacci,0.008957111841783636,0.9999999999763689
500,58.329235942862034,1.5,fibonacci,0.009132944955781255,0.9999999999759622
500,60.153958802748356,1.5,fibonacci,0.009231560168628371,0.9999999999862045
500,62.035764761042714,1.5,fibonacci,0.009529022690753945,0.9999999999864629
500,63.97643955748427,1.5,fibonacci,0.00970851428632445,0.9999999999789971
500,65.97782479539536,1.5,fibonacci,0.00938221208896107,0.9999999999848587
500,68.04181968927098,1.5,fibonacci,0.009006458814074327,0.999999999973006
500,70.17038286703826,1.5,fibonacci,0.008385139952201505,0.9999999999950041
500,72.36553422869653,1.5,fibonacci,0.007802323774725502,0.9999999999831608
500,74.62935686310134,1.5,fibonacci,0.007445780768283002,0.9999999999832756
500,76.96399902471158,1.5,fibonacci,0.007259486858283053,0.9999999999827146
500,79.37167617217551,1.5,fibonacci,0.007347692831101179,0.9999999999814774
500,81.8546730706903,1.5,fibonacci,0.007581539642632823,0.9999999999892943
500,84.41534596012986,1.5,fibonacci,0.00801699067673278,0.9999999999802235
500,87.05612479099865,1.5,fibonacci,0.00844371483356794,0.9999999999812301
500,89.77951553033323,1.5,fibonacci,0.008758623078614558,0.9999999999854113
500,92.58810253973955,1.5,fibonacci,0.009073090403633707,0.9999999999815568
500,95.48455102782293,1.5,fibonacci,0.009339939051922777,0.9999999999836465
500,98.47160957933774,1.5,fibonacci,0.009675242989761716,0.9999999999844981
500,101.5521127634568,1.5,fibonacci,0.009791085606790713,0.9999999999745639
500,104.72898382363586,1.5,fibonacci,0.009485390689022332,0.9999999999883763
500,108.00523745162529,1.5,fibonacci,0.009359512394616583,0.9999999999749354
500,111.38398264826195,1.5,fibonacci,0.00923004044781891,0.999999999974687
500,114.86842567375535,1.5,fibonacci,0.00970711344577415,0.9999999999743157
500,118.46187309026836,1.5,fibonacci,0.010362819614936746,0.9999999999833362
500,122.16773489967919,1.5,fibonacci,0.011370616305631971,0.9999999999721615
500,125.98952777950272,1.5,fibonacci,0.012113549473986091,0.999999999957852
500,129.93087842004158,1.5,fibonacci,0.011303349436824001,0.9999999999567611
500,133.99552696593383,1.5,fibonacci,0.01077283857387417,0.9999999999576253
500,138.18733056536323,1.5,fibonacci,0.011422796612511655,0.9999999999683067
500,142.5102670302998,1.5,fibonacci,0.01258076054359571,0.9999999999622421
500,146.9684386112446,1.5,fibonacci,0.013560093525695807,0.99999999994901
500,151.5660758900603,1.5,fibonacci,0.014056514030326737,0.9999999999648844
500,156.30754179458157,1.5,fibonacci,0.014675750906202803,0.999999999970607
500,161.1973357388157,1.5,fibonacci,0.01554604190804063,0.999999999962919
500,166.2400978926612,1.5,fibonacci,0.015625413892399447,0.9999999999619873
500,171.440613585197,1.5,fibonacci,0.015018592347304646,0.9999999999640081
500,176.8038178457207,1.5,fibonacci,0.014789643365812509,0.999999999944017
500,182.33480008684404,1.5,fibonacci,0.015939961419539145,0.9999999999523866
500,188.03880893409146,1.5,fibonacci,0.015029760112790107,0.9999999999481466
500,193.9212572065829,1.5,fibonacci,0.011507408736532398,0.9999999999633575
500,199.9877270535285,1.5,fibonacci,0.009816845959428864,0.9999999999532062
500,206.24397525140904,1.5,fibonacci,0.010329139237427355,0.9999999999592096
500,212.69593866686898,1.5,fibonacci,0.011026452256143507,0.9999999999504405
500,219.3497398905058,1.5,fibonacci,0.01012516063135974,0.9999999999482948
500,226.2116930469024,1.5,fibonacci,0.008717858420460666,0.9999999999472607
500,233.2883097864156,1.5,fibonacci,0.00892680269567422,0.9999999999443462
500,240.58630546440645,1.5,fibonacci,0.010326462116593542,0.9999999999431642
500,248.11260551377677,1.5,fibonacci,0.011377305703134404,0.9999999999480244
500,255.87435201685892,1.5,fibonacci,0.010354628509222247,0.9999999999490312
500,263.87891048289345,1.5,fibonacci,0.009863020312757058,0.9999999999282368
500,272.13387683753086,1.5,fibonacci,0.011199335408543294,0.999999999927811
500,280.6470846309839,1.5,fibonacci,0.010883275597661723,0.9999999999326767
500,289.4266124716752,1.5,fibonacci,0.008436080653896278,0.9999999999164879
500,298.4807916924327,1.5,fibonacci,0.010542279626429856,0.9999999999048719
500,307.81821425650804,1.5,fibonacci,0.014960136187155302,0.9999999999322984
500,317.4477409109193,1.5,fibonacci,0.011516292011842934,0.9999999999345159
500,327.3785095948577,1.5,fibonacci,0.015883771770710143,0.9999999999205454
500,337.61994411113403,1.5,fibonacci,0.01394139959249732,0.9999999999007396
500,348.18176306889666,1.5,fibonacci,0.011725903029242863,0.9999999999055437
